Keyword,Rule,Persona Segment,Exclude Keyword
artificial intelligence,contains,GenAI,
generative intelligence,contains,GenAI,
genai,contains,GenAI,
machine learning,contains,GenAI,
LLM,contains,GenAI,
deep learning,contains,GenAI,
data science,contains,GenAI,
data scientist,contains,GenAI,
data analytics,contains,GenAI,
ai safety,contains,GenAI,
ai research,contains,GenAI,
responsible ai,contains,GenAI,
Head of AI,contains,GenAI,
ai & ml,contains,GenAI,
ai and ml,contains,GenAI,
chief ai officer,contains,GenAI,
mlops,contains,GenAI,
ai scaling,contains,GenAI,
ai infrastructure,contains,GenAI,
ai governance,contains,GenAI,
ai transformation,contains,GenAI,
ai/ml,contains,GenAI,
data & ai,contains,GenAI,
data and ai,contains,GenAI,
ai and data,contains,GenAI,
ai & data,contains,GenAI,
", AI",contains,GenAI,
ai platform,contains,GenAI,
ai engineering,contains,GenAI,
ai architecture,contains,GenAI,
ai ml,contains,GenAI,
& ai,contains,GenAI,
& ml,contains,GenAI,
ai &,contains,GenAI,
ml &,contains,GenAI,
generative ai,contains,GenAI,
ai risk,contains,GenAI,
red team,contains,GenAI,
developer,contains,Engineering,marketing
engineer,contains,Engineering,sales
engineering,contains,Engineering,
devops,contains,Engineering,
CTO,equal,Engineering,
Chief Technology Officer,contains,Engineering,
R&D,contains,Engineering,
Research & Development,contains,Engineering,
Research and Development,contains,Engineering,
architect,contains,Engineering,
programmer,contains,Engineering,
software,contains,Engineering,
cloud,contains,Engineering,
developement,contains,Engineering,sales
developement,contains,Engineering,business
SWE,contains,Engineering,
CPTO,equals,Engineering,
technology,contains,Engineering,marketing
coder,contains,Engineering,
Chief Product Officer,equals,Product,
CPO,equals,Product,
product,contains,Product,consultant
product,contains,Product,marketing
PM,equals,Product,
cyber,contains,Cyber Security,
security,contains,Cyber Security,
infosec,contains,Cyber Security,
CISO,equals,Cyber Security,
CIO,equals,Cyber Security,
information,contains,Cyber Security,
appsec,contains,Cyber Security,
system administrator,contains,Cyber Security,
IT,contains,Cyber Security,
general counsel,contains,Legal & Compliance,
counsel,contains,Legal & Compliance,
compliance,contains,Legal & Compliance,
lawyer,contains,Legal & Compliance,
legal,contains,Legal & Compliance,
Chief Compliance Officer,equals,Legal & Compliance,
Chief Legal Officer,equals,Legal & Compliance,
risk,contains,Legal & Compliance,
solicitor,contains,Legal & Compliance,
attorney,contains,Legal & Compliance,
barrister,contains,Legal & Compliance,
lawyer,contains,Legal & Compliance,
enforcement,contains,Legal & Compliance,
CCO,equals,Legal & Compliance,
CLO,equals,Legal & Compliance,
trust and safety,contains,Trust & Safety,
trust & safety,contains,Trust & Safety,
T&S,contains,Trust & Safety,
safety,contains,Trust & Safety,
trust,contains,Trust & Safety,
fraud,contains,Trust & Safety,
child,contains,Trust & Safety,
community,contains,Trust & Safety,
content,contains,Trust & Safety,writer
content,contains,Trust & Safety,marketer
content,contains,Trust & Safety,marketing
threat,contains,Trust & Safety,
policy,contains,Trust & Safety,
abuse,contains,Trust & Safety,
moderation,contains,Trust & Safety,
moderator,contains,Trust & Safety,
investigator,contains,Trust & Safety,
investigation,contains,Trust & Safety,
investigations,contains,Trust & Safety,
osint,contains,Trust & Safety,
reviewer,contains,Trust & Safety,
webint,contains,Trust & Safety,
extremism,contains,Trust & Safety,
victim,contains,Trust & Safety,
forensics,contains,Trust & Safety,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
co-founder,contains,Executive,
cofounder,contains,Executive,
chairman,contains,Executive,
chief,contains,Executive,
founder,contains,Executive,
owner,contains,Executive,
president,contains,Executive,
partner,contains,Executive,
CEO,equals,Executive,
CMO,equals,Executive,
CFO,equals,Executive,
CRO,equals,Executive,
COO,equals,Executive,
CCO,equals,Executive,
CHRO,equals,Executive,
VP,contains,Executive,
SVP,contains,Executive,
EVP,contains,Executive,
Senior VP,contains,Executive,
Vice President,contains,Executive,
